,0
225,좋아요좋아요 좋아요좋아요
226,좋아요좋아요 좋아요좋아요
227,잘 받았습니다
228,잘 받았습니다
229,잘 받았습니다~
230,무난한 디자인이라 어디든 입기 좋습니다.
231,여유있는 핏으로 편히 입기 좋을거 같아요~
232,저렴한 가격에 잘 샀어요. 옷 예뻐요~
233,마음에 들어요. 잘 입을게요.
234,다 괜찮은데 바느질은 좀 엉망이라 아쉬워요
235,다 괜찮은데 바느질은 좀 엉망이라 아쉬워요
236,굿굿 너무
237,굿굿 너무
238,잘 구매했습니다
239,잘 구매했습니다
240,상품 가격 배송 모두 만족 합니다
241,상품 가격 배송 모두 만족 합니다
242,상품 가격 배송 모두 만족 합니다
243,별한개도 아까워요
244,별한개도 아까워요
245,별한개도 아까워요
246,별한개도 아까워요
247,별한개도 아까워요
248,별한개도 아까워요
249,별한개도 아까워요
250,가격은 싸지만 상품은 별로
251,가격만큼요
252,잘 받았어요..저명한 가격에 니트 겟했습니다
253,좋아요
254,좋아요
255,이만한가격에 무료배송까지 물품도 좋아요.
256,조아요
257,조아요
258,색깔이 생각했던것보다 칙칙하네요
259,가볍고 따뜻해요
260,가볍고 따뜻해요. 핏도 맘에들어요
261,예뻐요
262,예뻐요
263,예뻐요
264,예뻐요
265,편안하게 입기 좋아요
266,맘에들어 재구매했어요
267,가격만큼이예요
268,굿
269,굿
270,너무 작아서 못입음
271,저렴하게 잘 구매했습니다
272,good
273,good
274,good
275,잘받았습니다
276,잘받았습니다
277,다른스타일의 옷이 왔네요;;
278,잘받았습니다
279,좋아요~
280,좋아요~
281,좋아요~
282,배송도 빠르고 저렴하게 잘 구매했습니다 예쁘게 잘 입을께요
283,생각했던 것과 비슷해서 만족합니다
284,기대보단 아쉬워요
285,화면보다 색이 너무 쨍하네요ㅜ
286,좋아요
287,날씬한사람만 입을수 있는 ㅋ
288,예쁘게 자 알 입을께요~
289,예쁘게 자알 입을께요~
290,번창하세요
291,번창하세요
292,좋아요 번창하세요
293,겨자색
294,짧아요
295,짧아요
296,색이 안이쁜 아이보리
297,저렴한 가격에 만족합니다
298,저렴한 가격에 만족합니다
299,저렴한 가격에 만족합니다
300,좋아요
301,옷은 예뻐요
302,짜임새가 너무 엉망입니다
303,예쁘게 입을께요 좀 타이트
304,약간 작은듯 싶은데 예쁘네요
305,잘 받았어요 ~
306,얄음
307,예쁘네요~ 잘 입을께요!
308,좋네용
309,좋네용
310,감사합니다 감사합니다
311,잘입을께요
312,잘입을께요
313,스키니 느낌
314,좋아요
315,좋아요
316,좋아요
317,좋아요
318,좋아요
319,좋아요
320,좋아요
321,좋아요
322,좋아요
323,좋아요
324,좋아요
325,좋아요
326,좋아요
327,작아요
328,작아요 그래서 별 로예용 암튼 어떡게 입어야할지가.
329,잘 입겠 습 니 다 빠른배송 굿 굿 니트 얇긴해도 좋아요 앞으로도 빠른배송 잘 부탁합니다
